figure,panel_or_scope,statistics_file,statistics_recorded,key_columns
Fig. 4 / figure13_final.png,B potential curves,data/final_summary_tables/figure13_layer_energy_potential_curves.csv,"Effective-potential curve samples for dynamic FC states across epsilon, run, and layer.","epsilon, run, layer, dynamic_fc_state, potential, fc_state_mean, fc_state_std"
Fig. 5 / figure7_14_combined_group_panels_AB.png,A-F source values,data/final_summary_tables/figure1_dynamic_fc_fingerprint_overview_values.csv,Cross-species node/region FC summaries used for anatomical FCV distributions.,"species, node, EdgeStdFCV, FCS, ProfileCorrDistFCV, ObservedNetTE, NeighborNetTE, class_label"
Fig. 5 / figure7_14_combined_group_panels_AB.png,"B-C,E-F source values",data/final_summary_tables/sc_four_measures_vs_fcv_all_species_values.csv,Matched cross-species FCV and SC measures used for anatomical DCA distributions.,"species, node, EdgeStdFCV, PostDCA, PreDCA, Modularity, LogOutIn"
Fig. 6 / figure7_14_combined_group_panels_CDE.png,A-C,data/final_summary_tables/figure7_by_species_with_figure5_abc_group_signature.csv,"Functional-group means, group-vs-rest differences, relative z means, SEM, and sample sizes for FCV, DCA_post, and DCA_pre.","species, shared_fine_label, metric, mean, other_group_mean, mean_minus_other_group_mean, relative_z_mean, sem, n"
Fig. 6 / figure7_14_combined_group_panels_CDE.png,A-C,data/final_summary_tables/figure7_by_species_with_figure5_abc_group_permutation_tests.csv,Functional-group enrichment permutation tests with Holm and FDR corrected p-values.,"species, metric, shared_fine_label, observed_zdelta, p_abs_permutation, p_holm_within_species_metric, q_fdr_within_species_metric"
Fig. 6 / figure7_14_combined_group_panels_CDE.png,planned contrasts,data/final_summary_tables/figure7_by_species_with_figure5_abc_effects.csv,Planned high-vs-low functional-group contrasts with bootstrap confidence intervals and permutation p-values.,"species, metric, contrast, n_high, n_low, mean_high, mean_low, mean_diff, bootstrap_ci_low, bootstrap_ci_high, permutation_two_sided_p"
Supplementary Fig. S14 / figure_supply_14.png,OMR heatmap,data/final_summary_tables/figure7_zebrafish_all_region_stimulus_values.csv,"Subject-region FCV values under OMR stimulus conditions, including within-subject z-scored FCV used for the heatmap.","Subject, StimulusIndex, Region, RegionID, Division, FCV, SubjectZFCV, normalization"
Cross-species class mapping,metadata,data/final_summary_tables/current_plot_functional_classes.csv,Node-to-functional-class metadata used to interpret cross-species grouping.,"species, node, class_order, class_label, broad_class_label, fine_class, classification_note"
Cross-species SC motifs,source values,data/final_summary_tables/oo_fraction_recomputed_values_by_species.csv,"OO fraction, motif counts, degree values, and matched SC/FC metadata across species.","species, node, OO_fraction, OO_count, II_fraction, out_degree, PostDCA, PreDCA, EdgeStdFCV"
Cross-species recording-level FC,source values,data/final_summary_tables/highpass_ce_zf_plot_measures_recording_node.csv,Recording-by-node FC measures used by figure scripts and group summaries.,"species, recording_id, node, EdgeStdFCV, ProfileCorrDistFCV, FCS, window_config, n_rois"
Zebrafish TE source values,source values,data/final_summary_tables/observed_nette_no_p_recording_level.csv,Recording-level NetTE and neighbor NetTE values by node.,"species, recording_id, node, NetTE, NeighborNetTE, NetTE_z, NeighborNetTE_z, n_communities"
Supplementary Fig. S0 / figure_supply_0.png,empirical/simulation FC summaries,data/figure1_emp_variation/figure1_whole_brain_fc_mean_std_data.npz,Cached empirical whole-brain FC mean/std arrays and region labels used as source values for the supplementary empirical/simulation comparison.,NPZ arrays including new_region_array and FC summary arrays
Supplementary Fig. S0 / figure_supply_0.png,simulation traces and FC matrices,data/figure5_simulation/figure5_reprsesnt_data_data.pkl,"Cached empirical and simulated calcium traces, FC matrices, FCV summaries, and selected region/node indices used for plotting.","pickle keys include emp_ca_data, sim_ca_data, save_fc, eave_fc, estd_fc, sstd_fc, sel_region"
Supplementary Fig. S1 / figure_supply_1.png,distance-FC source values,data/figure9_distance_synapse/figure_supply1_fc_dist_data.npz,Pairwise distance and FC values used to fit binned lognormal FC distributions and an exponential distance-decay curve in the plotting script.,"NPZ arrays dist_data, fc_data"
Supplementary Fig. S1 / figure_supply_1.png,synapse-distance source values,data/figure9_distance_synapse/figure_supply1_soma_dist_data.npy,Synapse-to-soma or endpoint-distance values used for the distance distribution panel.,NumPy array of distances
Supplementary Fig. S2 / figure_supply_2_proc.png,regional SC metric panels,data/sc_original_per_area_network_metrics.pkl,"Cached zebrafish regional structural network metrics used for clustering, modularity, efficiency, and related SC metric panels.",pickle dictionary of regional network metric arrays
Supplementary Fig. S2 / figure_supply_2_proc.png,DCA and SC feature panels,data/total_selected_region_dac_data.npz,Cached regional DCA arrays used for DCA_post/DCA_pre panels and related division-level plotting.,NPZ arrays including DCA values by region/subject
Supplementary Fig. S2 / figure_supply_2_proc.png,SC feature source values,data/final_summary_tables/sc_four_measures_vs_fcv_all_species_values.csv,Zebrafish SC feature values used for supplementary regional SC metric panels; division-level bars compute comparisons during plotting.,"species, node, PostDCA, PreDCA, Modularity, LogOutIn, recording_id, Subject"
Supplementary Fig. S2 / figure_supply_2_proc.png,OO motif source values,data/final_summary_tables/oo_fraction_recomputed_values_by_species.csv,OO-fraction and related motif-count source values used for the supplementary structural motif panel.,"species, node, OO_fraction, OO_count, II_fraction, out_degree, Division"
Supplementary Fig. S5 / figure_supply_5.png,A-B statistical tests,data/final_summary_tables/figure_supply_5_stats.csv,"Mann-Whitney U tests for Base vs NULL-Out and Base vs NULL-In DCA null-model comparisons, with group sizes, means, medians, U statistics, and p-values.","panel, metric, test, comparison, n_base, n_null, mean_base, mean_null, median_base, median_null, u_statistic, p_value, p_text"
Supplementary Fig. S5 / figure_supply_5.png,null-model DCA comparisons,data/figure6_NULL_P_SP/figure6_network_properites_in.npz,Base and Null-Out values used for on-panel Mann-Whitney U comparison of DCA_post-related null-model distributions.,"NPZ arrays x_data, y_data"
Supplementary Fig. S5 / figure_supply_5.png,null-model DCA comparisons,data/figure6_NULL_P_SP/figure6_network_properites_out.npz,Base and Null-In values used for on-panel Mann-Whitney U comparison of DCA_pre-related null-model distributions.,"NPZ arrays x_data, y_data"
Supplementary Fig. S10 / figure_supply_10_proc.png,regional FC/TE summaries,data/final_summary_tables/figure1_dynamic_fc_fingerprint_overview_values.csv,"Zebrafish regional FCV, FCS, FC partner reconfiguration, NetTE, and neighbor NetTE values used for supplementary FC/TE panels.","species, node, EdgeStdFCV, FCS, ProfileCorrDistFCV, ObservedNetTE, NeighborNetTE"
Supplementary Fig. S10 / figure_supply_10_proc.png,recording-level FC/TE source values,data/final_summary_tables/highpass_ce_zf_plot_measures_recording_node.csv,Recording-by-node FC values used for supplementary regional functional metric panels.,"species, recording_id, node, EdgeStdFCV, ProfileCorrDistFCV, FCS"
Supplementary Fig. S10 / figure_supply_10_proc.png,recording-level NetTE source values,data/final_summary_tables/observed_nette_no_p_recording_level.csv,Recording-level NetTE and neighbor NetTE values used for supplementary regional directed-information panels.,"species, recording_id, node, NetTE, NeighborNetTE, NetTE_z, NeighborNetTE_z"
Supplementary Fig. S13 / figure_supply_13.png,example causality/TE arrays,data/region_community_io/subject_12/subject_12_causality.npz,"Subject-level community causality, FC-neighbor, and NetTE arrays used for the example TE/causality supplementary panel.","NPZ arrays including net_te_matrix, fc_neighbor_mask_fdr, region_num"
Supplementary Fig. S13 / figure_supply_13.png,example extracted values,data/figure_supply_13/figure_supply_13_example.npz,Precomputed example traces/indices used by the supplementary causality example panel.,NPZ arrays for example panel data
Supplementary Fig. S15 / figure_supply_15.png,layer-model trace cache,data/figure_supply_15_layer_trace_cache.npz,Cached layer-wise directed linear model traces and FC/FCV summaries used for supplementary model diagnostics.,NPZ arrays for layer traces and model summaries
Supplementary Fig. S15 / figure_supply_15.png,zebrafish example trace,data/figure_supply_15_rsp_rmos5_trace.npz,Cached zebrafish example region trace used in the supplementary simulation/trace panel.,NPZ arrays for rSP/rMOS5 example trace data
Supplementary Fig. S0 / figure_supply_0.png,G-H correlation statistics,data/final_summary_tables/figure_supply_0_stats.csv,Pearson correlations and linear-fit coefficients comparing empirical and simulated FCS/FCV values.,"panel, metric, test, n_regions, pearson_r, p_value, linear_slope, linear_intercept"
Supplementary Fig. S1 / figure_supply_1.png,B distance-decay fit statistics,data/final_summary_tables/figure_supply_1_stats.csv,Mean lognormal shape parameter and fitted exponential distance-decay model parameters with standard errors.,"panel, model, statistic, value, standard_error, n_bins"
Supplementary Fig. S2 / figure_supply_2_proc.png,A-E regional plotted summaries,data/final_summary_tables/figure_supply_2_proc_region_summary.csv,"Region-level n, mean, SEM, standard deviation, and median for each plotted structural metric panel.","panel, metric, region, division, n, mean, sem, std, median"
Supplementary Fig. S10 / figure_supply_10_proc.png,A-E regional plotted summaries,data/final_summary_tables/figure_supply_10_proc_region_summary.csv,"Region-level n, mean, SEM, standard deviation, and median for each plotted FC/TE metric panel.","panel, metric, region, division, n, mean, sem, std, median"
